year,league,teamname,result
2018,LCK,Gen.G,0.6271186440677966
2018,LCK,Griffin,0.6451612903225806
2018,LCK,Hanwha Life Esports,0.5434782608695652
2018,LCK,Jin Air Green Wings,0.3707865168539326
2018,LCK,KT Rolster,0.6464646464646465
2018,LCK,Kwangdong Freecs,0.6132075471698113
2018,LCS,Cloud9,1.0
2018,LCS,TSM,0.4
2018,LEC,FC Schalke 04 Esports,0.25
2018,LEC,G2 Esports,0.6666666666666666
2018,LEC,Misfits Gaming,0.4
2018,LPL,Bilibili Gaming,0.46938775510204084
2018,LPL,EDward Gaming,0.5929203539823009
2018,LPL,FunPlus Phoenix,0.44680851063829785
2018,LPL,Invictus Gaming,0.7247706422018348
2018,LPL,JD Gaming,0.5470085470085471
2018,LPL,LGD Gaming,0.391304347826087
2018,LPL,Oh My God,0.29411764705882354
2018,LPL,Rogue Warriors,0.6160714285714286
2018,LPL,Royal Never Give Up,0.6302521008403361
2018,LPL,Suning,0.5353535353535354
2018,LPL,Team WE,0.43617021276595747
2018,LPL,Vici Gaming,0.20454545454545456
2019,LCK,DWG KIA,0.5943396226415094
2019,LCK,Gen.G,0.45454545454545453
2019,LCK,Griffin,0.6931818181818182
2019,LCK,Hanwha Life Esports,0.42168674698795183
2019,LCK,Jin Air Green Wings,0.13793103448275862
2019,LCK,KT Rolster,0.37362637362637363
2019,LCK,Kwangdong Freecs,0.4375
2019,LCK,Liiv SANDBOX,0.5757575757575758
2019,LCS,100 Thieves,0.32432432432432434
2019,LCS,Cloud9,0.6666666666666666
2019,LCS,Counter Logic Gaming,0.5094339622641509
2019,LCS,FlyQuest,0.3877551020408163
2019,LCS,Golden Guardians,0.4418604651162791
2019,LCS,TSM,0.576271186440678
2019,LCS,Team Liquid,0.7407407407407407
2019,LEC,Excel Esports,0.25
2019,LEC,FC Schalke 04 Esports,0.5098039215686274
2019,LEC,Fnatic,0.6666666666666666
2019,LEC,G2 Esports,0.7692307692307693
2019,LEC,Misfits Gaming,0.3888888888888889
2019,LEC,Rogue,0.3023255813953488
2019,LEC,SK Gaming,0.42857142857142855
2019,LEC,Team Vitality,0.4318181818181818
2019,LLA,All Knights,0.6666666666666666
2019,LLA,Furious Gaming,0.3829787234042553
2019,LLA,Infinity Esports,0.6037735849056604
2019,LLA,Isurus,0.7258064516129032
2019,LLA,Kaos Latin Gamers,0.2619047619047619
2019,LLA,Rainbow7,0.543859649122807
2019,LLA,XTEN Esports,0.32727272727272727
2019,LPL,Bilibili Gaming,0.5595238095238095
2019,LPL,EDward Gaming,0.5662650602409639
2019,LPL,FunPlus Phoenix,0.7701149425287356
2019,LPL,Invictus Gaming,0.6
2019,LPL,JD Gaming,0.4948453608247423
2019,LPL,LGD Gaming,0.3466666666666667
2019,LPL,LNG Esports,0.5348837209302325
2019,LPL,Oh My God,0.2753623188405797
2019,LPL,Rogue Warriors,0.3188405797101449
2019,LPL,Royal Never Give Up,0.6395348837209303
2019,LPL,Suning,0.4594594594594595
2019,LPL,Team WE,0.5263157894736842
2019,LPL,Top Esports,0.6382978723404256
2019,LPL,Vici Gaming,0.2857142857142857
2019,LPL,Victory Five,0.34285714285714286
2020,LCK,DRX,0.6415094339622641
2020,LCK,DWG KIA,0.6774193548387096
2020,LCK,Gen.G,0.7070707070707071
2020,LCK,Griffin,0.34
2020,LCK,Hanwha Life Esports,0.32989690721649484
2020,LCK,Jin Air Green Wings,0.3333333333333333
2020,LCK,KT Rolster,0.45263157894736844
2020,LCK,Kwangdong Freecs,0.46464646464646464
2020,LCK,Liiv SANDBOX,0.41304347826086957
2020,LCK,T1,0.6601941747572816
2020,LCS,100 Thieves,0.40816326530612246
2020,LCS,Cloud9,0.7719298245614035
2020,LCS,Counter Logic Gaming,0.21621621621621623
2020,LCS,Dignitas,0.35714285714285715
2020,LCS,Evil Geniuses,0.48333333333333334
2020,LCS,FlyQuest,0.5733333333333334
2020,LCS,Golden Guardians,0.45098039215686275
2020,LCS,Immortals,0.32432432432432434
2020,LCS,TSM,0.5774647887323944
2020,LCS,Team Liquid,0.5918367346938775
2020,LEC,Excel Esports,0.4166666666666667
2020,LEC,FC Schalke 04 Esports,0.4186046511627907
2020,LEC,Fnatic,0.5964912280701754
2020,LEC,G2 Esports,0.6956521739130435
2020,LEC,MAD Lions,0.5254237288135594
2020,LEC,Misfits Gaming,0.45
2020,LEC,Rogue,0.5636363636363636
2020,LEC,SK Gaming,0.3333333333333333
2020,LEC,Team Vitality,0.25
2020,LLA,All Knights,0.717391304347826
2020,LLA,Furious Gaming,0.2857142857142857
2020,LLA,Infinity Esports,0.575
2020,LLA,Isurus,0.6037735849056604
2020,LLA,Kaos Latin Gamers,0.4
2020,LLA,Rainbow7,0.6111111111111112
2020,LLA,XTEN Esports,0.3125
2020,LPL,Bilibili Gaming,0.4567901234567901
2020,LPL,EDward Gaming,0.5357142857142857
2020,LPL,FunPlus Phoenix,0.58
2020,LPL,Invictus Gaming,0.5959595959595959
2020,LPL,JD Gaming,0.7032967032967034
2020,LPL,LGD Gaming,0.4791666666666667
2020,LPL,LNG Esports,0.3684210526315789
2020,LPL,Oh My God,0.4050632911392405
2020,LPL,Rogue Warriors,0.36486486486486486
2020,LPL,Royal Never Give Up,0.5185185185185185
2020,LPL,Suning,0.5520833333333334
2020,LPL,Team WE,0.5157894736842106
2020,LPL,Top Esports,0.6774193548387096
2020,LPL,Vici Gaming,0.4819277108433735
2020,LPL,Victory Five,0.3780487804878049
2021,LCK,DRX,0.32978723404255317
2021,LCK,DWG KIA,0.7474747474747475
2021,LCK,Gen.G,0.6
2021,LCK,Hanwha Life Esports,0.5046728971962616
2021,LCK,KT Rolster,0.42857142857142855
2021,LCK,Kwangdong Freecs,0.45652173913043476
2021,LCK,Liiv SANDBOX,0.44680851063829785
2021,LCK,T1,0.5855855855855856
2021,LCS,100 Thieves,0.6144578313253012
2021,LCS,Cloud9,0.6236559139784946
2021,LCS,Counter Logic Gaming,0.2653061224489796
2021,LCS,Dignitas,0.423728813559322
2021,LCS,Evil Geniuses,0.5571428571428572
2021,LCS,FlyQuest,0.3137254901960784
2021,LCS,Golden Guardians,0.2777777777777778
2021,LCS,Immortals,0.43103448275862066
2021,LCS,TSM,0.5802469135802469
2021,LCS,Team Liquid,0.6086956521739131
2021,LEC,Excel Esports,0.3888888888888889
2021,LEC,FC Schalke 04 Esports,0.375
2021,LEC,Fnatic,0.5538461538461539
2021,LEC,G2 Esports,0.5862068965517241
2021,LEC,MAD Lions,0.6666666666666666
2021,LEC,Misfits Gaming,0.5217391304347826
2021,LEC,Rogue,0.609375
2021,LEC,SK Gaming,0.35
2021,LEC,Team Vitality,0.36585365853658536
2021,LLA,All Knights,0.425
2021,LLA,Furious Gaming,0.5714285714285714
2021,LLA,Infinity Esports,0.7
2021,LLA,Isurus,0.4166666666666667
2021,LLA,Kaos Latin Gamers,0.17857142857142858
2021,LLA,Rainbow7,0.5121951219512195
2021,LLA,XTEN Esports,0.4482758620689655
2021,LPL,Bilibili Gaming,0.4878048780487805
2021,LPL,EDward Gaming,0.7171717171717171
2021,LPL,FunPlus Phoenix,0.6923076923076923
2021,LPL,Invictus Gaming,0.4935064935064935
2021,LPL,JD Gaming,0.5675675675675675
2021,LPL,LGD Gaming,0.3783783783783784
2021,LPL,LNG Esports,0.514018691588785
2021,LPL,Oh My God,0.38461538461538464
2021,LPL,Rogue Warriors,0.2361111111111111
2021,LPL,Royal Never Give Up,0.6632653061224489
2021,LPL,Suning,0.6
2021,LPL,Team WE,0.5370370370370371
2021,LPL,Top Esports,0.6067415730337079
2021,LPL,Victory Five,0.2465753424657534
2022,LCK,DRX,0.49473684210526314
2022,LCK,DWG KIA,0.6039603960396039
2022,LCK,Gen.G,0.7604166666666666
2022,LCK,Hanwha Life Esports,0.2696629213483146
2022,LCK,KT Rolster,0.4946236559139785
2022,LCK,Kwangdong Freecs,0.391304347826087
2022,LCK,Liiv SANDBOX,0.4666666666666667
2022,LCK,T1,0.7450980392156863
2022,LCS,100 Thieves,0.6
2022,LCS,Cloud9,0.6111111111111112
2022,LCS,Counter Logic Gaming,0.46551724137931033
2022,LCS,Dignitas,0.32608695652173914
2022,LCS,Evil Geniuses,0.6627906976744186
2022,LCS,FlyQuest,0.4482758620689655
2022,LCS,Golden Guardians,0.3333333333333333
2022,LCS,Immortals,0.225
2022,LCS,TSM,0.34
2022,LCS,Team Liquid,0.6419753086419753
2022,LEC,Excel Esports,0.48936170212765956
2022,LEC,Fnatic,0.5846153846153846
2022,LEC,G2 Esports,0.6774193548387096
2022,LEC,MAD Lions,0.5111111111111111
2022,LEC,Misfits Gaming,0.49019607843137253
2022,LEC,Rogue,0.6349206349206349
2022,LEC,SK Gaming,0.3888888888888889
2022,LEC,Team Vitality,0.4666666666666667
2022,LLA,All Knights,0.30303030303030304
2022,LLA,Furious Gaming,0.4166666666666667
2022,LLA,Infinity Esports,1.0
2022,LLA,Isurus,0.5517241379310345
2022,LLA,Kaos Latin Gamers,0.25
2022,LLA,Rainbow7,0.5882352941176471
2022,LLA,XTEN Esports,0.4146341463414634
2022,LPL,Bilibili Gaming,0.5
2022,LPL,EDward Gaming,0.6116504854368932
2022,LPL,FunPlus Phoenix,0.47368421052631576
2022,LPL,Invictus Gaming,0.3780487804878049
2022,LPL,JD Gaming,0.6635514018691588
2022,LPL,LGD Gaming,0.3333333333333333
2022,LPL,LNG Esports,0.5288461538461539
2022,LPL,Oh My God,0.48314606741573035
2022,LPL,Royal Never Give Up,0.64
2022,LPL,Team WE,0.26582278481012656
2022,LPL,Top Esports,0.639344262295082
2022,LPL,Victory Five,0.6842105263157895
